index,feature,importance
0,PC1,0.2187552
14,PC15,0.09199583
19,PC20,0.07381682
63,PC64,0.056335833
29,PC30,0.051845163
34,PC35,0.0456456
1,PC2,0.036992222
4,PC5,0.03639323
32,PC33,0.034352057
18,PC19,0.031378344
33,PC34,0.020438554
24,PC25,0.019459229
7,PC8,0.01718914
53,PC54,0.015889218
61,PC62,0.015654245
31,PC32,0.015394063
10,PC11,0.0145958
22,PC23,0.01457776
51,PC52,0.014298953
54,PC55,0.013570553
21,PC22,0.0126944315
15,PC16,0.010673871
37,PC38,0.009783774
60,PC61,0.007771149
27,PC28,0.0072248382
42,PC43,0.007019939
57,PC58,0.0066448245
16,PC17,0.0065220445
47,PC48,0.0060027833
5,PC6,0.0059978114
50,PC51,0.0054936283
12,PC13,0.005391305
8,PC9,0.0051187063
48,PC49,0.0049002795
56,PC57,0.0048248344
26,PC27,0.0045418064
35,PC36,0.00392999
23,PC24,0.003924805
62,PC63,0.0034211623
40,PC41,0.0031966378
3,PC4,0.0030987908
13,PC14,0.0029975467
55,PC56,0.0029325031
41,PC42,0.0029131256
52,PC53,0.0025297578
43,PC44,0.0024983538
49,PC50,0.0024152491
46,PC47,0.002098234
20,PC21,0.0019353162
2,PC3,0.0017317041
28,PC29,0.0015015345
25,PC26,0.0013893679
45,PC46,0.0011165749
44,PC45,0.0009812322
38,PC39,0.0009466816
59,PC60,0.00093818817
30,PC31,0.00067220506
17,PC18,0.0006523431
9,PC10,0.00063933653
11,PC12,0.0006144577
36,PC37,0.0005847088
6,PC7,0.00051280065
39,PC40,0.00044575814
58,PC59,0.00019780356
